ano;mes;temperatura
1933;JAN.;19.94
1934;JAN.;20.6
1935;JAN.;20.17
1936;JAN.;21.36
1937;JAN.;18.98
1938;JAN.;22.48
1939;JAN.;20.78
1940;JAN.;21.37
1941;JAN.;21.75
1942;JAN.;20.7
1943;JAN.;19.82
1944;JAN.;21.17
1945;JAN.;20.16
1946;JAN.;20.76
1947;JAN.;21.23
1948;JAN.;22.02
1949;JAN.;20.58
1950;JAN.;20.5
1951;JAN.;20.26
1952;JAN.;20.68
1953;JAN.;21.79
1954;JAN.;22.08
1955;JAN.;20.94
1956;JAN.;23.42
1957;JAN.;21.11
1958;JAN.;21.53
1959;JAN.;21.68
1960;JAN.;20.12
1961;JAN.;21.4
1962;JAN.;20.18
1963;JAN.;22.18
1964;JAN.;20.33
1965;JAN.;19.65
1966;JAN.;21.96
1967;JAN.;20.72
1968;JAN.;20.76
1969;JAN.;22.37
1970;JAN.;20.76
1971;JAN.;22.89
1972;JAN.;21.7
1973;JAN.;22.92
1974;JAN.;21.53
1975;JAN.;20.96
1976;JAN.;22.32
1977;JAN.;21.87
1978;JAN.;22.24
1979;JAN.;19.19
1980;JAN.;20.7
1981;JAN.;21.77
1982;JAN.;19.78
1983;JAN.;22.24
1984;JAN.;23.54
1985;JAN.;20.25
1986;JAN.;22.95
1987;JAN.;22.95
1988;JAN.;23.37
1989;JAN.;21.91
1990;JAN.;23.05
1991;JAN.;21.21
1992;JAN.;21.85
1993;JAN.;22.88
1994;JAN.;21.63
1995;JAN.;23.52
1996;JAN.;23.21
1997;JAN.;22.1
1998;JAN.;23.9
1999;JAN.;23.1
2000;JAN.;22.0
2001;JAN.;23.4
2002;JAN.;22.3
2003;JAN.;22.2
2004;JAN.;20.7
2005;JAN.;22.0
2006;JAN.;22.6
2007;JAN.;22.2
2008;JAN.;21.1
2009;JAN.;21.6
2010;JAN.;22.9
2011;JAN.;23.2
2012;JAN.;20.7
2013;JAN.;21.2
2014;JAN.;24.2
2015;JAN.;24.2
2016;JAN.;22.3
2017;JAN.;22.9
2018;JAN.;22.4
2019;JAN.;24.6
2020;JAN.;22.4
2021;JAN.;23.4
2022;JAN.;22.28
2023;JAN.;21.9
1933;FEV.;21.06
1934;FEV.;21.12
1935;FEV.;20.68
1936;FEV.;19.73
1937;FEV.;21.12
1938;FEV.;20.74
1939;FEV.;21.4
1940;FEV.;19.84
1941;FEV.;21.99
1942;FEV.;21.52
1943;FEV.;20.28
1944;FEV.;20.16
1945;FEV.;21.48
1946;FEV.;22.59
1947;FEV.;22.0
1948;FEV.;21.39
1949;FEV.;19.93
1950;FEV.;20.82
1951;FEV.;20.75
1952;FEV.;19.97
1953;FEV.;20.59
1954;FEV.;21.64
1955;FEV.;21.91
1956;FEV.;21.17
1957;FEV.;20.32
1958;FEV.;22.09
1959;FEV.;21.98
1960;FEV.;20.31
1961;FEV.;21.76
1962;FEV.;20.52
1963;FEV.;20.89
1964;FEV.;20.78
1965;FEV.;21.0
1966;FEV.;23.0
1967;FEV.;21.62
1968;FEV.;19.92
1969;FEV.;22.22
1970;FEV.;21.43
1971;FEV.;22.35
1972;FEV.;21.09
1973;FEV.;23.18
1974;FEV.;22.26
1975;FEV.;22.1
1976;FEV.;20.73
1977;FEV.;23.56
1978;FEV.;21.92
1979;FEV.;21.55
1980;FEV.;21.71
1981;FEV.;22.97
1982;FEV.;22.51
1983;FEV.;22.5
1984;FEV.;23.98
1985;FEV.;22.46
1986;FEV.;22.38
1987;FEV.;22.23
1988;FEV.;20.92
1989;FEV.;22.48
1990;FEV.;22.43
1991;FEV.;21.31
1992;FEV.;22.49
1993;FEV.;21.72
1994;FEV.;23.95
1995;FEV.;22.41
1996;FEV.;22.62
1997;FEV.;22.6
1998;FEV.;23.6
1999;FEV.;22.9
2000;FEV.;21.6
2001;FEV.;23.6
2002;FEV.;21.4
2003;FEV.;24.2
2004;FEV.;20.8
2005;FEV.;21.4
2006;FEV.;22.8
2007;FEV.;22.8
2008;FEV.;22.1
2009;FEV.;22.9
2010;FEV.;23.8
2011;FEV.;23.3
2012;FEV.;23.4
2013;FEV.;22.7
2014;FEV.;24.3
2015;FEV.;22.7
2016;FEV.;23.7
2017;FEV.;23.5
2018;FEV.;21.5
2019;FEV.;22.6
2020;FEV.;21.5
2021;FEV.;22.0
2022;FEV.;22.33
2023;FEV.;22.7
