ano;mes;temperatura
1933;JAN.;19.943413978494625
1934;JAN.;20.598118279569892
1935;JAN.;20.165860215053762
1936;JAN.;21.360887096774196
1937;JAN.;18.978387096774195
1938;JAN.;22.47876344086022
1939;JAN.;20.780107526881718
1940;JAN.;21.372043010752687
1941;JAN.;21.752688172043015
1942;JAN.;20.69556451612904
1943;JAN.;19.817741935483863
1944;JAN.;21.172580645161293
1945;JAN.;20.164247311827953
1946;JAN.;20.760215053763446
1947;JAN.;21.231317204301067
1948;JAN.;22.021236559139783
1949;JAN.;20.582795698924734
1950;JAN.;20.49879032258065
1951;JAN.;20.255376344086024
1952;JAN.;20.680645161290318
1953;JAN.;21.787903225806453
1954;JAN.;22.08212365591398
1955;JAN.;20.937634408602154
1956;JAN.;23.42379032258064
1957;JAN.;21.107123655913977
1958;JAN.;21.53145161290323
1959;JAN.;21.679569892473108
1960;JAN.;20.124596774193552
1961;JAN.;21.40282258064516
1962;JAN.;20.182795698924732
1963;JAN.;22.17983870967742
1964;JAN.;20.331586021505377
1965;JAN.;19.64865591397849
1966;JAN.;21.9635752688172
1967;JAN.;20.722446236559136
1968;JAN.;20.76370967741935
1969;JAN.;22.365322580645163
1970;JAN.;20.758064516129032
1971;JAN.;22.89314516129032
1972;JAN.;21.70067204301075
1973;JAN.;22.924193548387095
1974;JAN.;21.533602150537632
1975;JAN.;20.958467741935483
1976;JAN.;22.32150537634409
1977;JAN.;21.874865591397857
1978;JAN.;22.236290322580647
1979;JAN.;19.18908602150537
1980;JAN.;20.702284946236556
1981;JAN.;21.773118279569886
1982;JAN.;19.776478494623653
1983;JAN.;22.237096774193557
1984;JAN.;23.538709677419355
1985;JAN.;20.245967741935484
1986;JAN.;22.952956989247316
1987;JAN.;22.94704301075269
1988;JAN.;23.3736559139785
1989;JAN.;21.908911290322582
1990;JAN.;23.04596774193549
1991;JAN.;21.214959677419348
1992;JAN.;21.84690860215054
1993;JAN.;22.87871774193548
1994;JAN.;21.632930107526885
1995;JAN.;23.520833333333336
1996;JAN.;23.2127688172043
1997;JAN.;22.1
1998;JAN.;23.9
1999;JAN.;23.1
2000;JAN.;22.0
2001;JAN.;23.4
2002;JAN.;22.3
2003;JAN.;22.2
2004;JAN.;20.7
2005;JAN.;22.0
2006;JAN.;22.6
2007;JAN.;22.2
2008;JAN.;21.1
2009;JAN.;21.6
2010;JAN.;22.9
2011;JAN.;23.2
2012;JAN.;20.7
2013;JAN.;21.2
2014;JAN.;24.2
2015;JAN.;24.2
2016;JAN.;22.3
2017;JAN.;22.9
2018;JAN.;22.4
2019;JAN.;24.6
2020;JAN.;22.4
2021;JAN.;23.4
2022;JAN.;22.28051075268817
2023;JAN.;21.9
1933;FEV.;21.055505952380948
1934;FEV.;21.11577380952381
1935;FEV.;20.681250000000006
1936;FEV.;19.73448275862069
1937;FEV.;21.120684523809523
1938;FEV.;20.74151785714286
1939;FEV.;21.395833333333332
1940;FEV.;19.8441091954023
1941;FEV.;21.986160714285717
1942;FEV.;21.515178571428567
1943;FEV.;20.27991071428571
1944;FEV.;20.16163793103448
1945;FEV.;21.47782738095238
1946;FEV.;22.591517857142858
1947;FEV.;22.000297619047622
1948;FEV.;21.386494252873565
1949;FEV.;19.932440476190475
1950;FEV.;20.823958333333334
1951;FEV.;20.751190476190477
1952;FEV.;19.973419540229884
1953;FEV.;20.591220238095243
1954;FEV.;21.641220238095233
1955;FEV.;21.91473214285714
1956;FEV.;21.167959770114944
1957;FEV.;20.32202380952381
1958;FEV.;22.093303571428574
1959;FEV.;21.97589285714285
1960;FEV.;20.3103448275862
1961;FEV.;21.761607142857148
1962;FEV.;20.51755952380952
1963;FEV.;20.88794642857143
1964;FEV.;20.781321839080462
1965;FEV.;21.001190476190477
1966;FEV.;22.995386904761908
1967;FEV.;21.61666666666667
1968;FEV.;19.920732758620687
1969;FEV.;22.220833333333328
1970;FEV.;21.433630952380945
1971;FEV.;22.34866071428571
1972;FEV.;21.086781609195405
1973;FEV.;23.181547619047624
1974;FEV.;22.261904761904763
1975;FEV.;22.098958333333332
1976;FEV.;20.727873563218395
1977;FEV.;23.561607142857145
1978;FEV.;21.921726190476193
1979;FEV.;21.550744047619045
1980;FEV.;21.706465517241387
1981;FEV.;22.9702380952381
1982;FEV.;22.50639880952381
1983;FEV.;22.502678571428568
1984;FEV.;23.980316091954023
1985;FEV.;22.460714285714282
1986;FEV.;22.382440476190474
1987;FEV.;22.234672619047615
1988;FEV.;20.920402298850576
1989;FEV.;22.476339285714285
1990;FEV.;22.434970238095243
1991;FEV.;21.309419642857147
1992;FEV.;22.48807471264368
1993;FEV.;21.718005952380956
1994;FEV.;23.95388392857143
1995;FEV.;22.40833333333333
1996;FEV.;22.624425287356328
1997;FEV.;22.6
1998;FEV.;23.6
1999;FEV.;22.9
2000;FEV.;21.6
2001;FEV.;23.6
2002;FEV.;21.4
2003;FEV.;24.2
2004;FEV.;20.8
2005;FEV.;21.4
2006;FEV.;22.8
2007;FEV.;22.8
2008;FEV.;22.1
2009;FEV.;22.9
2010;FEV.;23.8
2011;FEV.;23.3
2012;FEV.;23.4
2013;FEV.;22.7
2014;FEV.;24.3
2015;FEV.;22.7
2016;FEV.;23.7
2017;FEV.;23.5
2018;FEV.;21.5
2019;FEV.;22.6
2020;FEV.;21.5
2021;FEV.;22.0
2022;FEV.;22.33154761904762
2023;FEV.;22.7
1933;MAR.;18.986155913978497
1934;MAR.;20.317473118279572
1935;MAR.;20.61599462365591
